id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,203.098909071448,0.104021846165076,0.408617347301284,0.254570313404678,0.799054990362407,0.980916305756996,thrA,ECB_00002,b0002,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043232.1,48.4322246157309,-0.501367992055239,0.49789541925722,-1.00697450240293,0.31394702731583,0.979022899974645,thrB,ECB_00003,b0003,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043233.1,214.358734829822,-0.39302632300233,0.501082620785701,-0.784354329403925,0.432832228697385,0.979022899974645,thrC,ECB_00004,b0004,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043235.1,24.8474070803259,-0.559110981800387,0.504530725045255,-1.10818024363181,0.267783981286213,0.979022899974645,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043236.1,0.0961485331299553,-0.152863258160032,0.480931972380338,-0.31784798461921,0.750600250180189,0.979022899974645,yaaJ,ECB_00007,b0007,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043237.1,153.118243466242,-0.146802593601997,0.455195595935283,-0.322504424280213,0.747070586574847,0.979022899974645,talB,ECB_00008,b0008,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043238.1,8.37275909270111,-0.498017041846969,0.594548812569955,-0.837638611528421,0.402233700565415,0.979022899974645,mogA,ECB_00009,b0009,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043242.1,0.234411231731365,-0.252277475524085,0.515534162579492,-0.48935161592746,0.624592784306005,0.979022899974645,yaaI,ECB_00013,b0013,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043243.1,607.821088849353,-0.235100531439333,0.480943234655681,-0.488832183298405,0.624960511121611,0.979022899974645,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043244.1,49.0851092846225,-0.141686479963241,0.470422317034145,-0.301189962365151,0.763269643537859,0.979022899974645,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043245.1,0.779630414238134,-0.512501725985311,0.651181095554851,-0.787034097709216,0.431261905946919,0.979022899974645,insL-1,ECB_00016,b0016,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043249.1,0.375862445335371,-0.391193159595798,0.602062868412617,-0.649754668689679,0.515850704710475,0.979022899974645,nhaR,ECB_00019,b0020,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043250.1,0.0395036281718313,-0.0768244969121225,0.478338928658929,-0.160606825640363,0.872403078610191,0.980916305756996,cirA,ECB_00020,b2155,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043252.1,0.457935901888513,-0.449825434668767,0.628879310730865,-0.71528101973333,0.474435414327513,0.979022899974645,yjcF,ECB_00022,,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043253.1,0.295913360766644,-0.333744766589955,0.571800463906769,-0.583673479922835,0.559440013012956,0.979022899974645,insA-1,ECB_00023,b0022,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043256.1,0.118510884515494,-0.199216052809095,0.488478162213468,-0.407830008011773,0.683398481163837,0.979022899974645,elfG,ECB_00026,,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043257.1,64.346915672523,-0.886198448337407,0.501144530865029,-1.76834903656982,0.0770025708447098,0.979022899974645,rpsT,ECB_00027,b0023,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043259.1,12.8146492250083,-0.291807371229268,0.527797612908326,-0.552877398632631,0.580347364771773,0.979022899974645,ribF,ECB_00029,b0025,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043260.1,173.775338673951,-0.116158708136029,0.425564290576409,-0.272952197137351,0.784889961824595,0.980599241319046,ileS,ECB_00030,b0026,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043262.1,6.45192541605145,-0.0555458497193766,0.617145020787611,-0.0900045335349025,0.928283612213072,0.986062507627192,fkpB,ECB_00032,b0028,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043263.1,8.76599704444664,-0.216793549029011,0.550848782302389,-0.393562727184176,0.693903904161685,0.979022899974645,ispH,ECB_00033,b0029,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043264.1,2.77074365065805,-0.841135636220587,0.758898769629203,-1.10836342063325,0.267704895882591,0.979022899974645,rihC,ECB_00034,b0030,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043265.1,39.8996745392294,-0.286244059972078,0.461067586716211,-0.620828850734768,0.534712238452189,0.979022899974645,dapB,ECB_00035,b0031,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043266.1,100.222452669795,-0.43999790187612,0.488737514902344,-0.900274459111324,0.367974209690676,0.979022899974645,carA,ECB_00036,b0032,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043267.1,217.116114598353,-0.122743658712865,0.406697939588891,-0.301805459936531,0.762800368421767,0.979022899974645,carB,ECB_00037,b0033,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043268.1,0.293666673989112,-0.274168915831895,0.531197040686528,-0.516134117534907,0.605760740659895,0.979022899974645,caiF,ECB_00038,b0034,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043270.1,0.440500010983668,-0.36661139302257,0.588099799966345,-0.623382958204627,0.533032894120781,0.979022899974645,caiD,ECB_00040,b0036,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043271.1,0.649563429256669,-0.638330137571317,0.692090604337032,-0.922321634726982,0.356360832357143,0.979022899974645,caiC,ECB_00041,b0037,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043272.1,0.968402324130346,-0.279531300497728,0.719086261795466,-0.388731248737495,0.697474963759573,0.979022899974645,caiA,ECB_00043,b0039,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043273.1,0.12169939951809,-0.189748410439012,0.486541776975844,-0.389994075366796,0.696540927934924,0.979022899974645,caiT,ECB_00044,b0040,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043274.1,0.45163796853938,-0.578372290743958,0.677683366326057,-0.853455049191341,0.393407005033441,0.979022899974645,fixA,ECB_00045,b0041,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043275.1,0.64968676004564,-0.548975923652657,0.664999793224703,-0.825527961430747,0.40907191479433,0.979022899974645,fixB,ECB_00046,b0042,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043276.1,0.5313539397535,-0.576749960078315,0.675436927364166,-0.853891661400617,0.393165020223682,0.979022899974645,fixC,ECB_00047,b0043,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043278.1,0.175155789473618,-0.230465676402538,0.500522272800786,-0.460450391374024,0.645192971815512,0.979022899974645,yaaU,ECB_00049,b0045,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043279.1,0.554179087285956,0.90554318054289,0.703502861539738,1.28719189366331,0.198027412013296,0.979022899974645,yabF,ECB_00050,b0046,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043280.1,0.587964943365531,-0.721443293172756,0.714289201304022,-1.01001567972143,0.312487777913034,0.979022899974645,kefC,ECB_00051,b0047,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043281.1,7.06723962171094,-0.375430842559075,0.622972766029343,-0.602644068940554,0.546745496930609,0.979022899974645,folA,ECB_00052,b0048,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043282.1,2.41815852075151,-0.450891749866622,0.762169462979734,-0.591589891444669,0.55412524453208,0.979022899974645,apaH,ECB_00053,b0049,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043283.1,3.01823749602505,-1.21384783506802,0.759963617489003,-1.59724466689432,0.110211179653886,0.979022899974645,apaG,ECB_00054,b0050,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043284.1,11.7983946852012,-0.358375845700474,0.576294899137787,-0.621861908263723,0.534032674233097,0.979022899974645,ksgA,ECB_00055,b0051,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043285.1,11.4631007318772,0.170197831206221,0.590670357093373,0.288143512133819,0.773236886495659,0.980135689641038,pdxA,ECB_00056,b0052,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043286.1,67.2680922244521,0.0475644823748793,0.392920643671113,0.121053660938956,0.90364853238277,0.985385585563121,surA,ECB_00057,b0053,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043287.1,81.8567224525764,-0.67295351375688,0.492568991990162,-1.36621168749965,0.171872530172869,0.979022899974645,imp,ECB_00058,b0054,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043288.1,11.9988253111268,-1.045278611497,0.600548175190805,-1.74054081700422,0.0817640994136663,0.979022899974645,djlA,ECB_00059,b0055,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043289.1,0.804482458489458,-0.170948446419399,0.708746942544821,-0.241198143029151,0.809401550069025,0.980916305756996,rluA,ECB_00060,b0058,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043290.1,22.7732729724743,-0.476654945341814,0.466648430067774,-1.02144337070327,0.307044426012918,0.979022899974645,hepA,ECB_00061,b0059,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043291.1,2.17504924202637,0.164583818937105,0.761919096714605,0.216012198206857,0.828978239234551,0.980916305756996,polB,ECB_00062,b0060,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043292.1,0.155403975387702,-0.217576978763402,0.49569688835895,-0.438931500021537,0.660711171347002,0.979022899974645,araD,ECB_00063,b0061,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043293.1,2.31193020822012,-0.996056969937078,0.76651006721277,-1.29947017337815,0.193782622999244,0.979022899974645,araA,ECB_00064,b0062,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043294.1,1.29497931819822,-0.233595149483593,0.780418879039823,-0.29932021861259,0.764695729134524,0.979022899974645,araB,ECB_00065,b0063,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043296.1,0.105053249440833,-0.1451059469126,0.480560755670924,-0.301951304180079,0.762689184854446,0.979022899974645,yabI,ECB_00067,b0065,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043297.1,0.38384056224305,0.141668564004501,0.604007500159729,0.234547690164504,0.814559814120964,0.980916305756996,thiQ,ECB_00068,b0066,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043298.1,0.383262584540076,0.122066815203174,0.603353895966116,0.202313792981671,0.839671417689791,0.980916305756996,thiP,ECB_00069,b0067,1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043299.1,0.942452666312467,-0.911363988019249,0.744300735096986,-1.2244566544738,0.220780008313974,0.979022899974645,tbpA,ECB_00070,b0068,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043300.1,0.575619639437003,-0.513264974324441,0.65315843307395,-0.785820022117557,0.431972934863966,0.979022899974645,yabN,ECB_00071,b0069,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043301.1,0.159799836763113,-0.21479209457296,0.494626167994996,-0.434251377042253,0.664105908220146,0.979022899974645,setA,ECB_00072,b0070,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043302.1,84.2707569330221,-0.573341383993115,0.500998111001945,-1.14439829492868,0.252458495023639,0.979022899974645,leuD,ECB_00073,b0071,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043303.1,139.484361732398,-0.195488677305055,0.401224384631173,-0.487230300034626,0.626095135096541,0.979022899974645,leuC,ECB_00074,b0072,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043304.1,108.125132383676,-0.379512844245496,0.484632201619491,-0.783094567338449,0.433571581166618,0.979022899974645,leuB,ECB_00075,b0073,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043305.1,141.75495406406,-0.244322123894259,0.431602021793283,-0.566081972644877,0.571338057513953,0.979022899974645,leuA,ECB_00076,b0074,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043307.1,0.881842097756073,-0.505139326366633,0.767677660992755,-0.658009672592779,0.510531915818067,0.979022899974645,leuO,ECB_00078,b0076,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043308.1,67.0985657545972,-0.266372024567242,0.492739485934344,-0.540594030255442,0.58878743350287,0.979022899974645,ilvI,ECB_00079,b0077,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043309.1,20.4096123856038,-0.0310157496967271,0.441173666457272,-0.0703028128260484,0.943952643737501,0.988917237002114,ilvH,ECB_00080,b0078,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
YP_003043310.1,10.9424241468586,-0.0819201657898553,0.580510449086429,-0.141117469838443,0.887777142822609,0.980977289065208,fruR,ECB_00081,b0080,-1,protein_wo_NA,Sta,Mg_mM_Levels,baseMglowMg
