id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,250.781261140718,-0.0578979934135863,0.272785194363972,-0.212247565519755,0.831913900048179,0.916756276844713,thrA,ECB_00002,b0002,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043232.1,56.7802037848613,-0.607809608513953,0.342679038540386,-1.7736994101036,0.0761128840784406,0.263862237861437,thrB,ECB_00003,b0003,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043233.1,283.991516699833,-0.641697295212757,0.336595105950022,-1.90643679563195,0.0565935586103782,0.220958054027629,thrC,ECB_00004,b0004,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043235.1,30.8547269346674,-0.398331854364897,0.310865182777349,-1.28136528769834,0.200065390707087,0.460219466079938,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043236.1,0.165503401677592,-0.253478223286569,0.468419688906393,-0.541134861086556,0.588414631297779,NA,yaaJ,ECB_00007,b0007,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043237.1,177.637346826779,-0.338243516257615,0.307869666565074,-1.09865814333521,0.271917206207009,0.539784007157706,talB,ECB_00008,b0008,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043238.1,9.14243845996472,-0.814141309497366,0.448515594710663,-1.81519064018848,0.0694946175882499,0.250757654438469,mogA,ECB_00009,b0009,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043242.1,0.334462572242618,-0.0658044663146627,0.564807887162798,-0.116507697237053,0.90725018613047,NA,yaaI,ECB_00013,b0013,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043243.1,628.981166545524,-0.100147011861252,0.297667174066528,-0.336439555941324,0.736539424826792,0.865881360655984,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043244.1,61.3861578641466,-0.419997451072338,0.343260262372196,-1.223553953405,0.221120539131625,0.485088983130089,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043245.1,0.384897009062206,-0.399062753251424,0.542760812369865,-0.735246068169496,0.462189647189608,NA,insL-1,ECB_00016,b0016,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
YP_003043249.1,0.851395167978496,-1.24778522743295,0.692761897974402,-1.80117473417838,0.0716753433438523,NA,nhaR,ECB_00019,b0020,-1,protein_wo_NA,Exp,Mg_mM_Levels,baseMghighMg
