"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0015128~gluconate transmembrane transporter activity",3,8.33333333333333,0.00231750032359947,"948798, 2847760, 947924",31,8,3186,38.5403225806452,0.305296269763289,0.305296269763289,2.75391016372907
"2","GOTERM_MF_ALL","GO:0042879~aldonate transmembrane transporter activity",3,8.33333333333333,0.00231750032359947,"948798, 2847760, 947924",31,8,3186,38.5403225806452,0.305296269763289,0.305296269763289,2.75391016372907
"3","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",5,13.8888888888889,0.0152798130457827,"947109, 947631, 944769, 946735, 946733",31,104,3186,4.94106699751861,0.910851085870507,0.701421845860262,16.9165559770971
"4","GOTERM_MF_ALL","GO:0008509~anion transmembrane transporter activity",4,11.1111111111111,0.0156573816418443,"948798, 2847760, 946704, 947924",31,57,3186,7.21222410865874,0.916060312486775,0.562152928445091,17.2991647563038
"5","GOTERM_MF_ALL","GO:0046316~gluconokinase activity",2,5.55555555555556,0.0187466555506213,"947937, 946066",31,2,3186,102.774193548387,0.948756292092521,0.524215667429788,20.3695231990933
"6","GOTERM_MF_ALL","GO:0008514~organic anion transmembrane transporter activity",3,8.33333333333333,0.0260031610812091,"948798, 2847760, 947924",31,27,3186,11.4193548387097,0.984021539250996,0.562772984881363,27.1749850436921
"7","GOTERM_MF_ALL","GO:0015168~glycerol transmembrane transporter activity",2,5.55555555555556,0.0279921330422712,"948422, 946704",31,3,3186,68.5161290322581,0.988408078122318,0.5242714222612,28.9448494811706
"8","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",2,5.55555555555556,0.0371533758974996,"946735, 946733",31,4,3186,51.3870967741935,0.997379002603601,0.572230798759707,36.5989878267276
"9","GOTERM_MF_ALL","GO:0008270~zinc ion binding",5,13.8888888888889,0.0573216363804633,"944769, 947280, 944996, 948423, 948507",31,157,3186,3.27306348880214,0.999905577463402,0.686032671317469,50.8590090772903
"10","GOTERM_MF_ALL","GO:0016901~oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor",2,5.55555555555556,0.0729707313427966,"946735, 946733",31,8,3186,25.6935483870968,0.999993181779482,0.733336577207656,59.8262564539388
"11","GOTERM_MF_ALL","GO:0015166~polyol transmembrane transporter activity",2,5.55555555555556,0.0817217942938476,"948422, 946704",31,9,3186,22.8387096774194,0.999998461981776,0.737761683526908,64.1602739212988
"12","GOTERM_MF_ALL","GO:0015665~alcohol transmembrane transporter activity",2,5.55555555555556,0.115934252077852,"948422, 946704",31,13,3186,15.8114143920596,0.99999999603652,0.827738277054645,77.3067183384163
"13","GOTERM_MF_ALL","GO:1901618~organic hydroxy compound transmembrane transporter activity",2,5.55555555555556,0.124292894510218,"948422, 946704",31,14,3186,14.6820276497696,0.999999999108045,0.823858403055088,79.7585702364378
"14","GOTERM_MF_ALL","GO:0016773~phosphotransferase activity, alcohol group as acceptor",4,11.1111111111111,0.156066299615573,"947937, 948041, 948423, 946066",31,146,3186,2.8157313300928,0.999999999997306,0.871165740285508,87.026428077101
"15","GOTERM_MF_ALL","GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",3,8.33333333333333,0.176301519147441,"947109, 947631, 944769",31,81,3186,3.80645161290323,0.99999999999994,0.886394002927325,90.3127360257933
"16","GOTERM_MF_ALL","GO:1901476~carbohydrate transporter activity",3,8.33333333333333,0.214172379981015,"948422, 2847760, 946704",31,92,3186,3.35133239831697,1,0.919753587330757,94.5023508738258
"17","GOTERM_MF_ALL","GO:0015144~carbohydrate transmembrane transporter activity",3,8.33333333333333,0.214172379981015,"948422, 2847760, 946704",31,92,3186,3.35133239831697,1,0.919753587330757,94.5023508738258
"18","GOTERM_MF_ALL","GO:0016301~kinase activity",4,11.1111111111111,0.230887541544616,"947937, 948041, 948423, 946066",31,177,3186,2.32258064516129,1,0.923919148069901,95.7558263849333
"19","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",4,11.1111111111111,0.251318115890923,"948798, 2847760, 946704, 947924",31,185,3186,2.22214472537053,1,0.930960311787923,96.9305261744179
"20","GOTERM_MF_ALL","GO:0010181~FMN binding",2,5.55555555555556,0.310094348973615,"946192, 946733",31,39,3186,5.27047146401985,1,0.960745634787881,98.8526386436486
