"","X","Category","KEGG_Path","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_07","947534","flgI",0.00131037685242857,-1.93158318332579,-1,-2.88260378724981,2.88260378724981,-1,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"2",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_03","945646","flgL",0.000636225976879469,-1.9917067758885,-1,-3.19638860277802,3.19638860277802,-2,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"3",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_12","945648","flgK",0.000267840777718706,-2.08178527640641,-1,-3.57212330264124,3.57212330264124,-3,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"4",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_14","945639","flgF",3.42183490069329e-06,-2.23754597555226,-1,-5.46574094846166,5.46574094846166,-4,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"5",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_11","946996","flgH",1.53898458605518e-06,-2.27662973930497,-1,-5.81276572989217,5.81276572989217,-5,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"6",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_13","946390","flhA",1.2047797523422e-06,-2.29399886427657,-1,-5.91909233988171,5.91909233988171,-6,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"7",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_04","945647","flgG",5.09454213615334e-07,-2.30771479262938,-1,-6.2928948414274,6.2928948414274,-7,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"8",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_08","945678","flgB",2.62696993412412e-07,-2.25360046581111,-1,-6.58054489771972,6.58054489771972,-8,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"9",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_05","945634","flgN",2.56352993584256e-07,-2.12412300732435,-1,-6.59116160668259,6.59116160668259,-9,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"10",1,"KEGG_PATHWAY","eco02040:Flagellar assembly",15,13.1578947368421,1.92306912041528e-13,49,36,1571,13.358843537415,5.38413758022216e-12,5.38413758022216e-12,1.60860214037939e-12,"Flagellar assembly","gene_02","945636","flgE",9.43565322424242e-08,-2.32720025513333,-1,-7.02522802852885,7.02522802852885,-10,0,15,"Flagellar assembly
 padj:0.00000 N( -15/ +0/ 36)","Flagellar assembly","mrna","Exp","Na_mM_Levels","baseNa","highNa","kegg"
