"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_long","MF_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",6,"GOTERM_MF_ALL","GO:0046872~metal ion binding",315,19.4564546016059,1.73343351341425e-26,1391,2793,21998,1.78359269849678,1.96224673718493e-23,3.27041122864155e-24,2.78204026106294e-25,"metal ion binding","gene_94","945003","cusR",1.19855987103258e-05,3.10858512919229,1,4.92134026700401,4.92134026700401,118,118,172,"metal ion binding
 padj:0.00000 N( -172/ +118/ 2793)","metal ion binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"2",7,"GOTERM_MF_ALL","GO:0043169~cation binding",321,19.8270537368746,2.96612935720581e-26,1391,2876,21998,1.76511180057773,3.35765843235697e-23,4.79665490336711e-24,4.76043137934606e-25,"cation binding","gene_97","945003","cusR",1.19855987103258e-05,3.10858512919229,1,4.92134026700401,4.92134026700401,123,123,173,"cation binding
 padj:0.00000 N( -173/ +123/ 2876)","cation binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"3",8,"GOTERM_MF_ALL","GO:0043167~ion binding",321,19.8270537368746,7.29607507555287e-26,1391,2891,21998,1.75595348960966,8.25915698552585e-23,1.03239462319073e-23,1.17096931903353e-24,"ion binding","gene_97","945003","cusR",1.19855987103258e-05,3.10858512919229,1,4.92134026700401,4.92134026700401,123,123,173,"ion binding
 padj:0.00000 N( -173/ +123/ 2891)","ion binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"4",18,"GOTERM_MF_ALL","GO:0046914~transition metal ion binding",229,14.1445336627548,8.68852552081985e-18,1391,2075,21998,1.74531350419651,9.83541088956807e-15,6.14713180598004e-16,1.39444793360339e-16,"transition metal ion binding","gene_134","945003","cusR",1.19855987103258e-05,3.10858512919229,1,4.92134026700401,4.92134026700401,93,93,114,"transition metal ion binding
 padj:0.00000 N( -114/ +93/ 2075)","transition metal ion binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"5",5,"GOTERM_MF_ALL","GO:0005488~binding",1052,64.9783817171093,2.44995082892486e-31,1391,13515,21998,1.23099349366322,2.77334433834294e-28,5.54668867668587e-29,3.93200073204344e-30,"binding","gene_1719","945003","cusR",1.19855987103258e-05,3.10858512919229,1,4.92134026700401,4.92134026700401,370,370,588,"binding
 padj:0.00000 N( -588/ +370/ 13515)","binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"6",1,"GOTERM_MF_ALL","GO:0005515~protein binding",447,27.609635577517,1.58236167229639e-209,1391,1395,21998,5.06744896144957,1.79123341303952e-206,1.79123341303952e-206,2.53958046029737e-208,"protein binding","gene_672","947165","proX",2.2147638233962e-05,4.03504148178173,1,4.65467257899599,4.65467257899599,128,128,294,"protein binding
 padj:0.00000 N( -294/ +128/ 1395)","protein binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"7",5,"GOTERM_MF_ALL","GO:0005488~binding",1052,64.9783817171093,2.44995082892486e-31,1391,13515,21998,1.23099349366322,2.77334433834294e-28,5.54668867668587e-29,3.93200073204344e-30,"binding","gene_2085","947165","proX",2.2147638233962e-05,4.03504148178173,1,4.65467257899599,4.65467257899599,369,370,588,"binding
 padj:0.00000 N( -588/ +370/ 13515)","binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"8",21,"GOTERM_MF_ALL","GO:0003824~catalytic activity",1005,62.0753551575046,1.20421946283555e-14,1391,13817,21998,1.15029272174168,1.35731426098573e-11,7.14428516346288e-13,1.9240165016754e-13,"catalytic activity","gene_1080","948597","yjcS",0.00010356958489559,2.9672062837451,1,3.98476776439166,3.98476776439166,369,369,541,"catalytic activity
 padj:0.00000 N( -541/ +369/ 13817)","catalytic activity","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"9",17,"GOTERM_MF_ALL","GO:0005524~ATP binding",247,15.2563310685608,1.52405835906976e-19,1391,2225,21998,1.75558962511814,1.72523406246697e-16,1.15015604164464e-17,2.44600769647652e-18,"ATP binding","gene_450","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,92,92,138,"ATP binding
 padj:0.00000 N( -138/ +92/ 2225)","ATP binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"10",16,"GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",248,15.3180975911056,1.06144304338174e-19,1391,2231,21998,1.75795671798051,1.20155352510813e-16,8.58252517934377e-18,1.70354228106323e-18,"adenyl ribonucleotide binding","gene_451","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,92,92,139,"adenyl ribonucleotide binding
 padj:0.00000 N( -139/ +92/ 2231)","adenyl ribonucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"11",13,"GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",263,16.2445954292773,1.82128795667597e-20,1391,2385,21998,1.74390744935622,2.0616979669572e-17,1.718081639131e-18,2.92304053386023e-19,"purine ribonucleotide binding","gene_479","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,95,95,149,"purine ribonucleotide binding
 padj:0.00000 N( -149/ +95/ 2385)","purine ribonucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"12",14,"GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",263,16.2445954292773,1.82128795667597e-20,1391,2385,21998,1.74390744935622,2.0616979669572e-17,1.718081639131e-18,2.92304053386023e-19,"ribonucleotide binding","gene_479","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,95,95,149,"ribonucleotide binding
 padj:0.00000 N( -149/ +95/ 2385)","ribonucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"13",11,"GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",276,17.0475602223595,4.90712361880909e-21,1391,2523,21998,1.73000715487964,5.55486393649189e-18,5.04987630590172e-19,7.87559220927402e-20,"adenyl nucleotide binding","gene_496","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,104,104,149,"adenyl nucleotide binding
 padj:0.00000 N( -149/ +104/ 2523)","adenyl nucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"14",12,"GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",276,17.0475602223595,4.90712361880909e-21,1391,2523,21998,1.73000715487964,5.55486393649189e-18,5.04987630590172e-19,7.87559220927402e-20,"purine nucleoside binding","gene_496","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,104,104,149,"purine nucleoside binding
 padj:0.00000 N( -149/ +104/ 2523)","purine nucleoside binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"15",15,"GOTERM_MF_ALL","GO:0001882~nucleoside binding",277,17.1093267449043,2.53423016208019e-20,1391,2565,21998,1.70784505796803,2.86874854347477e-17,2.20672964882675e-18,4.0672632017022e-19,"nucleoside binding","gene_498","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,104,104,150,"nucleoside binding
 padj:0.00000 N( -150/ +104/ 2565)","nucleoside binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"16",10,"GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",291,17.9740580605312,7.67075874733542e-22,1391,2677,21998,1.71909819972409,8.68329890198369e-19,8.68329890198369e-20,1.2311034431286e-20,"purine nucleotide binding","gene_524","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,107,107,159,"purine nucleotide binding
 padj:0.00000 N( -159/ +107/ 2677)","purine nucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"17",9,"GOTERM_MF_ALL","GO:0000166~nucleotide binding",340,21.0006176652254,9.74364704390328e-25,1391,3175,21998,1.69352360789553,1.10298084536985e-21,1.22553427263317e-22,1.56378760165622e-23,"nucleotide binding","gene_615","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,114,114,198,"nucleotide binding
 padj:0.00000 N( -198/ +114/ 3175)","nucleotide binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"18",1,"GOTERM_MF_ALL","GO:0005515~protein binding",447,27.609635577517,1.58236167229639e-209,1391,1395,21998,5.06744896144957,1.79123341303952e-206,1.79123341303952e-206,2.53958046029737e-208,"protein binding","gene_813","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,127,128,294,"protein binding
 padj:0.00000 N( -294/ +128/ 1395)","protein binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"19",21,"GOTERM_MF_ALL","GO:0003824~catalytic activity",1005,62.0753551575046,1.20421946283555e-14,1391,13817,21998,1.15029272174168,1.35731426098573e-11,7.14428516346288e-13,1.9240165016754e-13,"catalytic activity","gene_1988","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,368,369,541,"catalytic activity
 padj:0.00000 N( -541/ +369/ 13817)","catalytic activity","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"20",5,"GOTERM_MF_ALL","GO:0005488~binding",1052,64.9783817171093,2.44995082892486e-31,1391,13515,21998,1.23099349366322,2.77334433834294e-28,5.54668867668587e-29,3.93200073204344e-30,"binding","gene_2137","947148","proV",0.000137762028004279,3.80932672594479,1,3.86087047256446,3.86087047256446,368,370,588,"binding
 padj:0.00000 N( -588/ +370/ 13515)","binding","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"21",44,"GOTERM_MF_ALL","GO:0016853~isomerase activity",63,3.89129092032119,0.000304192810676047,1391,626,21998,1.59155731849888,0.291353627405843,0.008364785832079,0.0048709241850563,"isomerase activity","gene_185","946432","yfdE",0.000176162316125604,2.58919068054718,1,3.7540869883703,3.7540869883703,16,16,41,"isomerase activity
 padj:0.00487 N( -41/ +16/ 626)","isomerase activity","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"22",29,"GOTERM_MF_ALL","GO:0016740~transferase activity",333,20.568252007412,2.11877636243003e-08,1391,4000,21998,1.3165589503954,2.39842610841867e-05,9.22482217280418e-07,3.40048820324235e-07,"transferase activity","gene_438","946432","yfdE",0.000176162316125604,2.58919068054718,1,3.7540869883703,3.7540869883703,102,102,191,"transferase activity
 padj:0.00000 N( -191/ +102/ 4000)","transferase activity","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
"23",21,"GOTERM_MF_ALL","GO:0003824~catalytic activity",1005,62.0753551575046,1.20421946283555e-14,1391,13817,21998,1.15029272174168,1.35731426098573e-11,7.14428516346288e-13,1.9240165016754e-13,"catalytic activity","gene_1096","946432","yfdE",0.000176162316125604,2.58919068054718,1,3.7540869883703,3.7540869883703,367,369,541,"catalytic activity
 padj:0.00000 N( -541/ +369/ 13817)","catalytic activity","protein","Exp","Na_mM_Levels","baseNa","highNa","kegg"
