"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","fabZ","eco00061:Fatty acid biosynthesis",0.00796600432065297,-1,-2.09875946237118,0.000222825508552349,12,2.09875946237118,-1,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"2","fabF","eco00061:Fatty acid biosynthesis",0.00594810789188951,-1,-2.22562116247233,0.000222825508552349,12,2.22562116247233,-2,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"3","accA","eco00061:Fatty acid biosynthesis",0.00564708719842202,-1,-2.24817550613577,0.000222825508552349,12,2.24817550613577,-3,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"4","fabH","eco00061:Fatty acid biosynthesis",0.0051825490147535,-1,-2.2854565818079,0.000222825508552349,12,2.2854565818079,-4,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"5","fabD","eco00061:Fatty acid biosynthesis",0.000580972389087314,-1,-3.2358445071139,0.000222825508552349,12,3.2358445071139,-5,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"6","fabI","eco00061:Fatty acid biosynthesis",1.22738511550626e-05,-1,-4.91101914770737,0.000222825508552349,12,4.91101914770737,-6,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"7","fabG","eco00061:Fatty acid biosynthesis",4.47732087550638e-06,-1,-5.3489817799815,0.000222825508552349,12,5.3489817799815,-7,0,7,"Fatty acid biosynthesis
 padj:0.00022 N( -7/ +0/ 12)","Fatty acid biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"8","menD","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.0480123726545886,-1,-1.31864683172435,0.0223924091702383,17,1.31864683172435,-1,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"9","ubiD","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.0371718854362488,-1,-1.4297854100156,0.0223924091702383,17,1.4297854100156,-2,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"10","ubiG","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.026111073525162,-1,-1.58317527231839,0.0223924091702383,17,1.58317527231839,-3,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"11","ubiH","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.0253823631570202,-1,-1.59546794653302,0.0223924091702383,17,1.59546794653302,-4,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"12","menC","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.00212852143581829,-1,-2.67192197179142,0.0223924091702383,17,2.67192197179142,-5,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"13","menE","eco00130:Ubiquinone and other terpenoid-quinone biosynthesis",0.000306317479442629,-1,-3.51382822027182,0.0223924091702383,17,3.51382822027182,-6,0,6,"Ubiquinone and other terpenoid-quinone biosynthesis
 padj:0.02239 N( -6/ +0/ 17)","Ubiquinone and other terpenoid-quinone biosynthesis","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"14","cyoC","eco00190:Oxidative phosphorylation",0.0401591925636583,-1,-1.3962150276527,5.64814861547802e-12,41,1.3962150276527,-1,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"15","appC","eco00190:Oxidative phosphorylation",0.0377567917214086,-1,-1.42300491577451,5.64814861547802e-12,41,1.42300491577451,-2,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"16","appB","eco00190:Oxidative phosphorylation",0.0345820421345784,-1,-1.46114936439952,5.64814861547802e-12,41,1.46114936439952,-3,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"17","nuoG","eco00190:Oxidative phosphorylation",0.0330923721392054,-1,-1.48027210047259,5.64814861547802e-12,41,1.48027210047259,-4,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"18","atpA","eco00190:Oxidative phosphorylation",0.0238014514127914,-1,-1.62339655885329,5.64814861547802e-12,41,1.62339655885329,-5,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"19","nuoH","eco00190:Oxidative phosphorylation",0.0137758173766771,-1,-1.86088262320946,5.64814861547802e-12,41,1.86088262320946,-6,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"20","ndh","eco00190:Oxidative phosphorylation",0.00893943403834345,-1,-2.04868997581314,5.64814861547802e-12,41,2.04868997581314,-7,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"21","atpC","eco00190:Oxidative phosphorylation",0.00762175307724548,-1,-2.117945125221,5.64814861547802e-12,41,2.117945125221,-8,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
"22","cyoB","eco00190:Oxidative phosphorylation",0.0057014332702038,-1,-2.24401595431094,5.64814861547802e-12,41,2.24401595431094,-9,0,19,"Oxidative phosphorylation
 padj:0.00000 N( -19/ +0/ 41)","Oxidative phosphorylation","mrna","Exp","Mg_mM_Levels","baseMghighMg","kegg"
