"","X","Category","KEGG_Path","Count","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_KEGG_Path","KEGG_Path_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","rank","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","base","contrast","df_category","fullFileName","MF","FDR_MF","MF_Short","MF_Long","thresholds_for_input_genes","dataType","carbonSource","Mg","Na","investigatedEffect","testVSbase"
"1",1,"KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,0.000275101299457707,19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.00205988770619236,"Pentose phosphate pathway","gene_05",946066,"idnK",4.90817199252971e-30,6.38671291494137,1,29.3090802270987,4,"Pentose phosphate pathway
 padj:0.00206 N( -1/ +4/ 30)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucose","gluconate","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__gluconateVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","gluconateVSglucose"
"2",1,"KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,0.000275101299457707,19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.00205988770619236,"Pentose phosphate pathway","gene_04",946362,"edd",6.37955988032797e-06,2.02744316041006,1,5.19520928180205,3,"Pentose phosphate pathway
 padj:0.00206 N( -1/ +4/ 30)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucose","gluconate","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__gluconateVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","gluconateVSglucose"
"3",1,"KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,0.000275101299457707,19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.00205988770619236,"Pentose phosphate pathway","gene_02",947937,"gntK",0.000571562361431815,2.74258289789011,1,3.24293637813277,2,"Pentose phosphate pathway
 padj:0.00206 N( -1/ +4/ 30)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucose","gluconate","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__gluconateVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","gluconateVSglucose"
"4",1,"KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,0.000275101299457707,19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.00205988770619236,"Pentose phosphate pathway","gene_01",946367,"eda",0.000998775452980368,1.6303065310171,1,3.00053213989516,1,"Pentose phosphate pathway
 padj:0.00206 N( -1/ +4/ 30)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucose","gluconate","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__gluconateVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","gluconateVSglucose"
"5",1,"KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,0.000275101299457707,19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.00205988770619236,"Pentose phosphate pathway","gene_03",948041,"kdgK",0.046947167066487,-1.68950306223317,-1,-1.32839060924478,-1,"Pentose phosphate pathway
 padj:0.00206 N( -1/ +4/ 30)","Pentose phosphate pathway","mrna","Exp","carbonSource","glucose","gluconate","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__gluconateVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","gluconateVSglucose"
"6",2,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",44,0.00190348412706044,231,195,1571,1.53455433455433,0.143010097188422,0.0742625086928919,0.0201006172217721,"Biosynthesis of antibiotics","gene_44",948424,"glpX",7.15523055438937e-10,1.82557657923861,1,9.14537636792993,5,"Biosynthesis of antibiotics
 padj:0.02010 N( -39/ +5/ 195)","Biosynthesis of antibiotics","mrna","Exp","carbonSource","glucose","glycerol","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__glycerolVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","glycerolVSglucose"
"7",2,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",44,0.00190348412706044,231,195,1571,1.53455433455433,0.143010097188422,0.0742625086928919,0.0201006172217721,"Biosynthesis of antibiotics","gene_38",948774,"argI",3.64626161958124e-06,1.69443745789804,1,5.43815217389709,4,"Biosynthesis of antibiotics
 padj:0.02010 N( -39/ +5/ 195)","Biosynthesis of antibiotics","mrna","Exp","carbonSource","glucose","glycerol","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__glycerolVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","glycerolVSglucose"
"8",2,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",44,0.00190348412706044,231,195,1571,1.53455433455433,0.143010097188422,0.0742625086928919,0.0201006172217721,"Biosynthesis of antibiotics","gene_25",2847724,"tdcG",0.000539551809335169,1.0386802208158,1,3.26796684675853,3,"Biosynthesis of antibiotics
 padj:0.02010 N( -39/ +5/ 195)","Biosynthesis of antibiotics","mrna","Exp","carbonSource","glucose","glycerol","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__glycerolVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","glycerolVSglucose"
"9",2,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",44,0.00190348412706044,231,195,1571,1.53455433455433,0.143010097188422,0.0742625086928919,0.0201006172217721,"Biosynthesis of antibiotics","gene_13",947289,"argA",0.00217934375929496,1.14392144672146,1,2.66167426080931,2,"Biosynthesis of antibiotics
 padj:0.02010 N( -39/ +5/ 195)","Biosynthesis of antibiotics","mrna","Exp","carbonSource","glucose","glycerol","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__glycerolVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","glycerolVSglucose"
"10",2,"KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",44,0.00190348412706044,231,195,1571,1.53455433455433,0.143010097188422,0.0742625086928919,0.0201006172217721,"Biosynthesis of antibiotics","gene_24",946233,"eutG",0.0475593329750017,1.0540705474064,1,1.32276424503963,1,"Biosynthesis of antibiotics
 padj:0.02010 N( -39/ +5/ 195)","Biosynthesis of antibiotics","mrna","Exp","carbonSource","glucose","glycerol","kegg","ez_P0.05Fold2_mrna_trT_set00_StcAllEx_SYAN_baseMgAllMg_baseNaAllNa_Exp_noFilter_p1Sf_noNorm__batchNumberPLUScarbonSource__glycerolVSglucose_kegg.csv",NA,NA,NA,NA,"P0.05Fold2","mrna","SYAN","baseMgAllMg","baseNaAllNa","batchNumberPLUScarbonSource","glycerolVSglucose"
