"","ID","KEGG_Path","padj_gene","signChange","score_gene","FDR_KEGG_Path","numGenesInCat","abs_score","rank","numSigP","numSigN","KEGG_Path_long","KEGG_Path_short","pick_data","growthPhase","test_for","vs","df_category"
"1","talB","eco00030:Pentose phosphate pathway",0.028085727943622,-1,-1.55151431532349,0.00161602654553217,28,1.55151431532349,-1,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"2","gcd","eco00030:Pentose phosphate pathway",0.0108153194333243,-1,-1.9659606490329,0.00161602654553217,28,1.9659606490329,-2,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"3","deoC","eco00030:Pentose phosphate pathway",0.00851788320926169,-1,-2.06966831893718,0.00161602654553217,28,2.06966831893718,-3,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"4","rpe","eco00030:Pentose phosphate pathway",0.00158601117455734,-1,-2.79969375709944,0.00161602654553217,28,2.79969375709944,-4,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"5","zwf","eco00030:Pentose phosphate pathway",0.00158601117455734,-1,-2.79969375709944,0.00161602654553217,28,2.79969375709944,-5,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"6","talA","eco00030:Pentose phosphate pathway",0.00123709584628005,-1,-2.90759665130217,0.00161602654553217,28,2.90759665130217,-6,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"7","talA","eco00030:Pentose phosphate pathway",0.00123709584628005,-1,-2.90759665130217,0.00161602654553217,28,2.90759665130217,-7,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"8","rbsK","eco00030:Pentose phosphate pathway",2.87402006145389e-05,-1,-4.54151020469577,0.00161602654553217,28,4.54151020469577,-8,0,8,"Pentose phosphate pathway
 padj:0.00162 N( -8/ +0/ 28)","Pentose phosphate pathway","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"9","fabI","eco00061:Fatty acid biosynthesis",0.0281755064242199,-1,-1.55012826923864,0.000123998545387805,12,1.55012826923864,-1,0,6,"Fatty acid biosynthesis
 padj:0.00012 N( -6/ +0/ 12)","Fatty acid biosynthesis","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
"10","fabD","eco00061:Fatty acid biosynthesis",0.00315272597184652,-1,-2.50131377555301,0.000123998545387805,12,2.50131377555301,-2,0,6,"Fatty acid biosynthesis
 padj:0.00012 N( -6/ +0/ 12)","Fatty acid biosynthesis","protein_wo_NA","Sta","carbonSource","glucoseglycerol","kegg"
