"","ID","MF_Name","padj_gene","signChange","score_gene","FDR_GoMF","numGenesInCat","abs_score","rank","numSigP","numSigN","MF_Name_long","MF_Name_short","pick_data","growthPhase","test_for","vs","df_category"
"1","rpsL","GO:0000049~tRNA binding",0.0496069928713546,-1,-1.30445709868363,1.67051927846273e-11,17,1.30445709868363,-1,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"2","metG","GO:0000049~tRNA binding",0.00961230776754434,-1,-2.01717233237434,1.67051927846273e-11,17,2.01717233237434,-2,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"3","pheT","GO:0000049~tRNA binding",0.00814173961295737,-1,-2.08928279123003,1.67051927846273e-11,17,2.08928279123003,-3,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"4","rpsM","GO:0000049~tRNA binding",0.00771034375978059,-1,-2.11292625883002,1.67051927846273e-11,17,2.11292625883002,-4,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"5","rpmG","GO:0000049~tRNA binding",0.00674760243442971,-1,-2.17085051375627,1.67051927846273e-11,17,2.17085051375627,-5,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"6","rpmA","GO:0000049~tRNA binding",0.00557256872336901,-1,-2.25394456690409,1.67051927846273e-11,17,2.25394456690409,-6,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"7","rpsG","GO:0000049~tRNA binding",0.00223412772680132,-1,-2.65089200156091,1.67051927846273e-11,17,2.65089200156091,-7,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"8","rpsI","GO:0000049~tRNA binding",0.00142686895604993,-1,-2.845615910752,1.67051927846273e-11,17,2.845615910752,-8,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"9","rpsJ","GO:0000049~tRNA binding",0.00139756736768001,-1,-2.85462724841004,1.67051927846273e-11,17,2.85462724841004,-9,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"10","rplP","GO:0000049~tRNA binding",0.000826947804846581,-1,-3.08252190130897,1.67051927846273e-11,17,3.08252190130897,-10,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"11","rph","GO:0000049~tRNA binding",0.000536976647102963,-1,-3.27004460118099,1.67051927846273e-11,17,3.27004460118099,-11,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"12","rplE","GO:0000049~tRNA binding",0.000471429523434046,-1,-3.32658322312057,1.67051927846273e-11,17,3.32658322312057,-12,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"13","rplA","GO:0000049~tRNA binding",0.000428908903584836,-1,-3.36763493828499,1.67051927846273e-11,17,3.36763493828499,-13,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"14","rnpA","GO:0000049~tRNA binding",0.000173946169426908,-1,-3.75958513067077,1.67051927846273e-11,17,3.75958513067077,-14,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"15","rpsS","GO:0000049~tRNA binding",0.000145501150162514,-1,-3.83713357363849,1.67051927846273e-11,17,3.83713357363849,-15,0,15,"tRNA binding
 padj:0.00000 N( -15/ +0/ 17)","tRNA binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"16","glpK","GO:0000166~nucleotide binding",1.49880582117828e-10,1,9.82425462882838,4.96402852157019e-09,578,9.82425462882838,16,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"17","bax","GO:0000166~nucleotide binding",4.2150827820261e-07,1,6.3751938916385,4.96402852157019e-09,578,6.3751938916385,15,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"18","glcE","GO:0000166~nucleotide binding",0.000471429523434046,1,3.32658322312057,4.96402852157019e-09,578,3.32658322312057,14,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"19","lyxK","GO:0000166~nucleotide binding",0.00079978508691187,1,3.09702669814231,4.96402852157019e-09,578,3.09702669814231,13,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"20","aceK","GO:0000166~nucleotide binding",0.00887278380416012,1,2.0519401004493,4.96402852157019e-09,578,2.0519401004493,12,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"21","rhaB","GO:0000166~nucleotide binding",0.00893740342600204,1,2.04878863797755,4.96402852157019e-09,578,2.04878863797755,11,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"22","kdpA","GO:0000166~nucleotide binding",0.0123741808699273,1,1.90748354030913,4.96402852157019e-09,578,1.90748354030913,10,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"23","ilvB","GO:0000166~nucleotide binding",0.0204178505943359,1,1.68998997841715,4.96402852157019e-09,578,1.68998997841715,9,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"24","glnK","GO:0000166~nucleotide binding",0.0234215908646308,1,1.63038360967929,4.96402852157019e-09,578,1.63038360967929,8,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"25","glpA","GO:0000166~nucleotide binding",0.0265998460337546,1,1.57512087716158,4.96402852157019e-09,578,1.57512087716158,7,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"26","argB","GO:0000166~nucleotide binding",0.0277072575702768,1,1.55740645801556,4.96402852157019e-09,578,1.55740645801556,6,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"27","yfdC","GO:0000166~nucleotide binding",0.0287434624916586,1,1.54146091711879,4.96402852157019e-09,578,1.54146091711879,5,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"28","argC","GO:0000166~nucleotide binding",0.0334208838445512,1,1.47598206899272,4.96402852157019e-09,578,1.47598206899272,4,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"29","hcaD","GO:0000166~nucleotide binding",0.0399270795698858,1,1.39873245472095,4.96402852157019e-09,578,1.39873245472095,3,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"30","mglA","GO:0000166~nucleotide binding",0.0449503119047014,1,1.34726729040415,4.96402852157019e-09,578,1.34726729040415,2,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"31","glnA","GO:0000166~nucleotide binding",0.0481672192271907,1,1.31724842549678,4.96402852157019e-09,578,1.31724842549678,1,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"32","folE","GO:0000166~nucleotide binding",0.0491909196987436,-1,-1.30811505757168,4.96402852157019e-09,578,1.30811505757168,-1,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"33","ybbA","GO:0000166~nucleotide binding",0.0491039324913351,-1,-1.30888372598501,4.96402852157019e-09,578,1.30888372598501,-2,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"34","btuD","GO:0000166~nucleotide binding",0.0484406475776481,-1,-1.3147900596347,4.96402852157019e-09,578,1.3147900596347,-3,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"35","gshB","GO:0000166~nucleotide binding",0.047563351116615,-1,-1.32272755438591,4.96402852157019e-09,578,1.32272755438591,-4,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"36","msbA","GO:0000166~nucleotide binding",0.0456063388957354,-1,-1.34097478987696,4.96402852157019e-09,578,1.34097478987696,-5,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"37","mutS","GO:0000166~nucleotide binding",0.0433880631066165,-1,-1.36262973684668,4.96402852157019e-09,578,1.36262973684668,-6,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"38","thiD","GO:0000166~nucleotide binding",0.0430937028532387,-1,-1.36558618728464,4.96402852157019e-09,578,1.36558618728464,-7,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"39","grpE","GO:0000166~nucleotide binding",0.0420612841319058,-1,-1.37611747242746,4.96402852157019e-09,578,1.37611747242746,-8,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
"40","uvrD","GO:0000166~nucleotide binding",0.0401060313141412,-1,-1.39679031143257,4.96402852157019e-09,578,1.39679031143257,-9,16,176,"nucleotide binding
 padj:0.00000 N( -176/ +16/ 578)","nucleotide binding","mrna","Exp","carbonSource","glucoseglycerol","MF"
