"","X","Category","MF","Count","X.","PValue","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR_MF","MF_Short","gene_number","gene_name_ez","gene_name","padj_gene","log2","signChange","score_gene","abs_score","rank","numSigP","numSigN","MF_long","MF_short","pick_data","growthPhase","test_for","base","contrast","df_category"
"1",4,"GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",4,3.41880341880342,0.00152448687745363,97,52,21998,17.4448850118953,0.328468714389479,0.0947541080434501,0.0197561097595881,"nitrate reductase activity","gene_05","945808","narI",3.67151483534257e-16,4.02316485672828,1,15.4351547126163,15.4351547126163,4,4,1,"nitrate reductase activity
 padj:0.01976 N( -1/ +4/ 52)","nitrate reductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"2",5,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,18.8034188034188,0.00243037045863405,97,2513,21998,1.98537091659453,0.470116848353505,0.119283724422134,0.0313242383578854,"oxidoreductase activity","gene_66","945808","narI",3.67151483534257e-16,4.02316485672828,1,15.4351547126163,15.4351547126163,9,9,13,"oxidoreductase activity
 padj:0.03132 N( -13/ +9/ 2513)","oxidoreductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"3",5,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,18.8034188034188,0.00243037045863405,97,2513,21998,1.98537091659453,0.470116848353505,0.119283724422134,0.0313242383578854,"oxidoreductase activity","gene_06","945780","narH",1.72497662043269e-14,3.65036136134811,1,13.7632167867854,13.7632167867854,8,9,13,"oxidoreductase activity
 padj:0.03132 N( -13/ +9/ 2513)","oxidoreductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"4",4,"GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",4,3.41880341880342,0.00152448687745363,97,52,21998,17.4448850118953,0.328468714389479,0.0947541080434501,0.0197561097595881,"nitrate reductase activity","gene_07","945780","narH",1.72497662043269e-14,3.65036136134811,1,13.7632167867854,13.7632167867854,3,4,1,"nitrate reductase activity
 padj:0.01976 N( -1/ +4/ 52)","nitrate reductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"5",1,"GOTERM_MF_ALL","GO:0005515~protein binding",26,22.2222222222222,8.72472451321027e-10,97,1395,21998,4.22678934338396,2.27715277745233e-07,2.27715277745233e-07,1.14110056959049e-08,"protein binding","gene_09","945780","narH",1.72497662043269e-14,3.65036136134811,1,13.7632167867854,13.7632167867854,15,15,9,"protein binding
 padj:0.00000 N( -9/ +15/ 1395)","protein binding","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"6",4,"GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",4,3.41880341880342,0.00152448687745363,97,52,21998,17.4448850118953,0.328468714389479,0.0947541080434501,0.0197561097595881,"nitrate reductase activity","gene_01","945807","narJ",4.50739723584994e-14,3.95904732877558,1,13.3460741659726,13.3460741659726,2,4,1,"nitrate reductase activity
 padj:0.01976 N( -1/ +4/ 52)","nitrate reductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"7",5,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,18.8034188034188,0.00243037045863405,97,2513,21998,1.98537091659453,0.470116848353505,0.119283724422134,0.0313242383578854,"oxidoreductase activity","gene_59","945807","narJ",4.50739723584994e-14,3.95904732877558,1,13.3460741659726,13.3460741659726,7,9,13,"oxidoreductase activity
 padj:0.03132 N( -13/ +9/ 2513)","oxidoreductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"8",1,"GOTERM_MF_ALL","GO:0005515~protein binding",26,22.2222222222222,8.72472451321027e-10,97,1395,21998,4.22678934338396,2.27715277745233e-07,2.27715277745233e-07,1.14110056959049e-08,"protein binding","gene_70","945807","narJ",4.50739723584994e-14,3.95904732877558,1,13.3460741659726,13.3460741659726,14,15,9,"protein binding
 padj:0.00000 N( -9/ +15/ 1395)","protein binding","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"9",5,"GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,18.8034188034188,0.00243037045863405,97,2513,21998,1.98537091659453,0.470116848353505,0.119283724422134,0.0313242383578854,"oxidoreductase activity","gene_07","945782","narG",1.29816107317585e-12,3.39048625154384,1,11.8866714178196,11.8866714178196,6,9,13,"oxidoreductase activity
 padj:0.03132 N( -13/ +9/ 2513)","oxidoreductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
"10",4,"GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",4,3.41880341880342,0.00152448687745363,97,52,21998,17.4448850118953,0.328468714389479,0.0947541080434501,0.0197561097595881,"nitrate reductase activity","gene_09","945782","narG",1.29816107317585e-12,3.39048625154384,1,11.8866714178196,11.8866714178196,1,4,1,"nitrate reductase activity
 padj:0.01976 N( -1/ +4/ 52)","nitrate reductase activity","mrna","Exp","Mg_mM_Levels","baseMg","highMg","kegg"
