ID	Gene Name	Species	KEGG_PATHWAY
fabZ	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	Escherichia coli	ecc00061:Fatty acid biosynthesis,ecd00061:Fatty acid biosynthesis,ece00061:Fatty acid biosynthesis,ecf00061:Fatty acid biosynthesis,ecg00061:Fatty acid biosynthesis,eci00061:Fatty acid biosynthesis,ecj00061:Fatty acid biosynthesis,eck00061:Fatty acid biosynthesis,ecl00061:Fatty acid biosynthesis,ecm00061:Fatty acid biosynthesis,eco00061:Fatty acid biosynthesis,ecp00061:Fatty acid biosynthesis,ecq00061:Fatty acid biosynthesis,ecr00061:Fatty acid biosynthesis,ecs00061:Fatty acid biosynthesis,ect00061:Fatty acid biosynthesis,ecv00061:Fatty acid biosynthesis,ecw00061:Fatty acid biosynthesis,ecx00061:Fatty acid biosynthesis,ecy00061:Fatty acid biosynthesis,ecz00061:Fatty acid biosynthesis,eum00061:Fatty acid biosynthesis,
hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	Escherichia coli	ecc00340:Histidine metabolism,ecd00340:Histidine metabolism,ece00340:Histidine metabolism,ecf00340:Histidine metabolism,ecg00340:Histidine metabolism,eci00340:Histidine metabolism,ecj00340:Histidine metabolism,eck00340:Histidine metabolism,ecm00340:Histidine metabolism,eco00340:Histidine metabolism,ecq00340:Histidine metabolism,ecr00340:Histidine metabolism,ect00340:Histidine metabolism,ecv00340:Histidine metabolism,ecw00340:Histidine metabolism,ecx00340:Histidine metabolism,ecz00340:Histidine metabolism,eum00340:Histidine metabolism,
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	Escherichia coli	ecc00561:Glycerolipid metabolism,ecc00564:Glycerophospholipid metabolism,ecd00561:Glycerolipid metabolism,ecd00564:Glycerophospholipid metabolism,ece00561:Glycerolipid metabolism,ece00564:Glycerophospholipid metabolism,ecf00561:Glycerolipid metabolism,ecf00564:Glycerophospholipid metabolism,ecg00561:Glycerolipid metabolism,ecg00564:Glycerophospholipid metabolism,eci00561:Glycerolipid metabolism,eci00564:Glycerophospholipid metabolism,ecj00561:Glycerolipid metabolism,ecj00564:Glycerophospholipid metabolism,eck00561:Glycerolipid metabolism,eck00564:Glycerophospholipid metabolism,ecm00561:Glycerolipid metabolism,ecm00564:Glycerophospholipid metabolism,eco00561:Glycerolipid metabolism,eco00564:Glycerophospholipid metabolism,ecq00561:Glycerolipid metabolism,ecq00564:Glycerophospholipid metabolism,ecr00561:Glycerolipid metabolism,ecr00564:Glycerophospholipid metabolism,ect00561:Glycerolipid metabolism,ect00564:Glycerophospholipid metabolism,ecv00561:Glycerolipid metabolism,ecv00564:Glycerophospholipid metabolism,ecw00561:Glycerolipid metabolism,ecw00564:Glycerophospholipid metabolism,ecx00561:Glycerolipid metabolism,ecx00564:Glycerophospholipid metabolism,ecz00561:Glycerolipid metabolism,ecz00564:Glycerophospholipid metabolism,eum00561:Glycerolipid metabolism,eum00564:Glycerophospholipid metabolism,
dxs	1-deoxy-D-xylulose-5-phosphate synthase	Escherichia coli	ecc00900:Terpenoid backbone biosynthesis,ecd00900:Terpenoid backbone biosynthesis,ece00900:Terpenoid backbone biosynthesis,ecf00900:Terpenoid backbone biosynthesis,ecg00900:Terpenoid backbone biosynthesis,eci00900:Terpenoid backbone biosynthesis,ecj00900:Terpenoid backbone biosynthesis,eck00900:Terpenoid backbone biosynthesis,ecm00900:Terpenoid backbone biosynthesis,eco00900:Terpenoid backbone biosynthesis,ecq00900:Terpenoid backbone biosynthesis,ecr00900:Terpenoid backbone biosynthesis,ect00900:Terpenoid backbone biosynthesis,ecv00900:Terpenoid backbone biosynthesis,ecw00900:Terpenoid backbone biosynthesis,ecx00900:Terpenoid backbone biosynthesis,ecz00900:Terpenoid backbone biosynthesis,eum00900:Terpenoid backbone biosynthesis,
fruK	1-phosphofructokinase	Escherichia coli	ecc00051:Fructose and mannose metabolism,ecd00051:Fructose and mannose metabolism,ece00051:Fructose and mannose metabolism,ecf00051:Fructose and mannose metabolism,ecg00051:Fructose and mannose metabolism,eci00051:Fructose and mannose metabolism,ecj00051:Fructose and mannose metabolism,eck00051:Fructose and mannose metabolism,ecl00051:Fructose and mannose metabolism,ecm00051:Fructose and mannose metabolism,eco00051:Fructose and mannose metabolism,ecp00051:Fructose and mannose metabolism,ecq00051:Fructose and mannose metabolism,ecr00051:Fructose and mannose metabolism,ecs00051:Fructose and mannose metabolism,ect00051:Fructose and mannose metabolism,ecv00051:Fructose and mannose metabolism,ecw00051:Fructose and mannose metabolism,ecx00051:Fructose and mannose metabolism,ecy00051:Fructose and mannose metabolism,ecz00051:Fructose and mannose metabolism,eum00051:Fructose and mannose metabolism,
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Escherichia coli	ecc00300:Lysine biosynthesis,ecd00300:Lysine biosynthesis,ece00300:Lysine biosynthesis,ecf00300:Lysine biosynthesis,ecg00300:Lysine biosynthesis,eci00300:Lysine biosynthesis,ecj00300:Lysine biosynthesis,eck00300:Lysine biosynthesis,ecl00300:Lysine biosynthesis,ecm00300:Lysine biosynthesis,eco00300:Lysine biosynthesis,ecp00300:Lysine biosynthesis,ecq00300:Lysine biosynthesis,ecr00300:Lysine biosynthesis,ecs00300:Lysine biosynthesis,ect00300:Lysine biosynthesis,ecv00300:Lysine biosynthesis,ecw00300:Lysine biosynthesis,ecx00300:Lysine biosynthesis,ecy00300:Lysine biosynthesis,ecz00300:Lysine biosynthesis,eum00300:Lysine biosynthesis,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	ecl00010:Glycolysis / Gluconeogenesis,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	ecs00010:Glycolysis / Gluconeogenesis,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	ecp00010:Glycolysis / Gluconeogenesis,
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	ecc00010:Glycolysis / Gluconeogenesis,ecd00010:Glycolysis / Gluconeogenesis,ece00010:Glycolysis / Gluconeogenesis,ecf00010:Glycolysis / Gluconeogenesis,ecg00010:Glycolysis / Gluconeogenesis,eci00010:Glycolysis / Gluconeogenesis,ecj00010:Glycolysis / Gluconeogenesis,eck00010:Glycolysis / Gluconeogenesis,ecm00010:Glycolysis / Gluconeogenesis,eco00010:Glycolysis / Gluconeogenesis,ecq00010:Glycolysis / Gluconeogenesis,ecr00010:Glycolysis / Gluconeogenesis,ect00010:Glycolysis / Gluconeogenesis,ecv00010:Glycolysis / Gluconeogenesis,ecw00010:Glycolysis / Gluconeogenesis,ecx00010:Glycolysis / Gluconeogenesis,ecz00010:Glycolysis / Gluconeogenesis,eum00010:Glycolysis / Gluconeogenesis,
