ID	specialConditions	Go_Annotation	Go_Annotaion_Type	SourceType	Go_Annotaion_Name
rppH		GO:0034353	F	IDA	RNA pyrophosphohydrolase activity
rppH		GO:0016818	F	IDA	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
rpiB		GO:0004751	F	IDA	ribose-5-phosphate isomerase activity
rpiB		GO:0004751	F	IGI	ribose-5-phosphate isomerase activity
rpiB		GO:0019316	P	IMP	D-allose catabolic process
dnaK		GO:0008270	F	IDA	zinc ion binding
dnaK		GO:0009408	P	IEP	response to heat
dnaJ		GO:0003756	F	IDA	protein disulfide isomerase activity
dnaJ		GO:0008270	F	IMP	zinc ion binding
dnaJ		GO:0006457	P	IDA	protein folding
dnaJ		GO:0042026	P	IDA	protein refolding
dnaJ		GO:0051082	F	IDA	unfolded protein binding
dnaJ		GO:0016020	C	IDA	membrane
dnaJ		GO:0005737	C	IDA	cytoplasm
dnaJ		GO:0008270	F	IDA	zinc ion binding
dnaJ		GO:0016020	C	IDA	membrane
dnaJ		GO:0008270	F	IDA	zinc ion binding
dnaJ		GO:0006260	P	IMP	DNA replication
dnaJ		GO:0009408	P	IEP	response to heat
rpsT		GO:0022627	C	IDA	cytosolic small ribosomal subunit
rihC		GO:0006974	P	IEP	response to DNA damage stimulus
dapB		GO:0008652	P	IDA	cellular amino acid biosynthetic process
dapB		GO:0019877	P	IDA	diaminopimelate biosynthetic process
carA		GO:0005737	C	IDA	cytoplasm
carA		GO:0006541	P	IMP	glutamine metabolic process
carA		GO:0006526	P	IMP	arginine biosynthetic process
carA		GO:0006207	P	IMP	'de novo' pyrimidine base biosynthetic process
carB		GO:0005524	F	IMP	ATP binding
carB		GO:0004087	F	IDA	carbamoyl-phosphate synthase (ammonia) activity
carB		GO:0046872	F	IDA	metal ion binding
carB		GO:0019856	P	IMP	pyrimidine base biosynthetic process
carB		GO:0008652	P	IMP	cellular amino acid biosynthetic process
carB		GO:0000166	F	IMP	nucleotide binding
carB		GO:0000166	F	IDA	nucleotide binding
carB		GO:0016597	F	IDA	amino acid binding
caiF		GO:0009437	P	EXP	carnitine metabolic process
caiE		GO:0008735	F	EXP	carnitine dehydratase activity
caiE		GO:0009437	P	EXP	carnitine metabolic process
caiD		GO:0008809	F	EXP	carnitine racemase activity
caiD		GO:0042413	P	EXP	carnitine catabolic process
caiB		GO:0008735	F	EXP	carnitine dehydratase activity
caiB		GO:0042413	P	EXP	carnitine catabolic process
caiB		GO:0008735	F	EXP	carnitine dehydratase activity
fixA		GO:0009437	P	IMP	carnitine metabolic process
fixB		GO:0009437	P	IMP	carnitine metabolic process
fixC		GO:0050660	F	ISA	flavin adenine dinucleotide binding
fixC		GO:0051536	F	ISA	iron-sulfur cluster binding
fixC		GO:0004174	F	ISA	electron-transferring-flavoprotein dehydrogenase activity
fixC		GO:0009437	P	IEP	carnitine metabolic process
kefF		GO:0009055	F	IMP	electron carrier activity
kefC		GO:0006813	P	IDA	potassium ion transport
kefC		GO:0006885	P	IDA	regulation of pH
kefC		GO:0005887	C	IDA	integral to plasma membrane
kefC		GO:0005887	C	ISM	integral to plasma membrane
folA		GO:0042493	P	IDA	response to drug
apaH		GO:0008796	F	IMP	bis(5'-nucleosyl)-tetraphosphatase activity
apaH		GO:0015949	P	IMP	nucleobase-containing small molecule interconversion
apaH		GO:0008803	F	IDA	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
surA		GO:0060274	P	IMP	maintenance of stationary phase
surA		GO:0006457	P	IMP	protein folding
surA		GO:0050821	P	IMP	protein stabilization
surA		GO:0003755	F	IDA	peptidyl-prolyl cis-trans isomerase activity
surA		GO:0043165	P	IMP	Gram-negative-bacterium-type cell outer membrane assembly
surA		GO:0030288	C	IDA	outer membrane-bounded periplasmic space
lptD		GO:0005515	F	IPI	protein binding
lptD		GO:0043165	P	IGI	Gram-negative-bacterium-type cell outer membrane assembly
lptD		GO:0015920	P	IMP	lipopolysaccharide transport
rluA		GO:0031118	P	IMP	rRNA pseudouridine synthesis
rluA		GO:0031119	P	IMP	tRNA pseudouridine synthesis
rluA		GO:0009451	P	IMP	RNA modification
rluA		GO:0009982	F	IMP	pseudouridine synthase activity
rluA		GO:0001522	P	IMP	pseudouridine synthesis
rluA		GO:0008033	P	IMP	tRNA processing
rluA		GO:0006364	P	IMP	rRNA processing
araA		GO:0019568	P	IMP	arabinose catabolic process
araA		GO:0008733	F	IMP	L-arabinose isomerase activity
araB		GO:0019568	P	IMP	arabinose catabolic process
araB		GO:0008741	F	IMP	ribulokinase activity
araB		GO:0008741	F	IDA	ribulokinase activity
araB		GO:0005737	C	IDA	cytoplasm
araB		GO:0016773	F	IDA	phosphotransferase activity, alcohol group as acceptor
araB		GO:0019572	P	IDA	L-arabinose catabolic process
araB		GO:0019568	P	IDA	arabinose catabolic process
araB		GO:0016052	P	IDA	carbohydrate catabolic process
araC		GO:0019568	P	IMP	arabinose catabolic process
setA		GO:0015767	P	IDA	lactose transport
setA		GO:0015542	F	IDA	sugar efflux transmembrane transporter activity
setA		GO:0015758	P	IDA	glucose transport
setA		GO:0016020	C	IDA	membrane
leuD		GO:0009316	C	IMP	3-isopropylmalate dehydratase complex
leuB		GO:0003862	F	IDA	3-isopropylmalate dehydrogenase activity
leuB		GO:0034198	P	IMP	cellular response to amino acid starvation
leuB		GO:0009098	P	IMP	leucine biosynthetic process
leuA		GO:0009098	P	IMP	leucine biosynthetic process
ftsI		GO:0008955	F	IMP	peptidoglycan glycosyltransferase activity
ftsI		GO:0008955	F	IDA	peptidoglycan glycosyltransferase activity
ftsI		GO:0031226	C	IDA	intrinsic to plasma membrane
ftsI		GO:0005887	C	IDA	integral to plasma membrane
ftsI		GO:0005515	F	IPI	protein binding
ftsI		GO:0032153	C	IDA	cell division site
ftsI		GO:0051301	P	IMP	cell division
ftsI		GO:0008658	F	IDA	penicillin binding
ftsI		GO:0042493	P	IMP	response to drug
murE		GO:0008765	F	IDA	UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity
