"Category","pathway.Number","pathway.Name","Count","percentage","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR","FDR_umut"
"KEGG_PATHWAY","eco02010","ABC transporters",108,4.18604651162791,9.99521805412542e-45,"MALF, MALE, SAPA, GLTK, ALSB, ALSA, MALK, GLTI, NIKD, FECB, NIKE, NIKB, NIKA, OPPC, OPPD, OPPF, OPPA, FECE, THIP, RBSB, RBSA, LIVF, THIQ, LIVG, LIVJ, ARGT, LIVK, YOJI, YDDA, GLNQ, DPPD, GLNH, BTUD, DPPF, BTUC, PHNC, TAUB, TAUA, PHND, CCMC, PHNL, SBP, SAPD, SAPB, PSTS, FHUC, FHUD, MSBA, METQ, FEPC, METN, MGLA, FEPG, DPPB, PROX, DPPC, MGLC, METI, MGLB, DPPA, PROV, SSUA, FHUB, ARTI, ARTJ, ARTM, MDLB, ARTQ, UGPE, ARTP, UGPC, XYLF, XYLH, CYDC, MPPA, CYDD, MODC, YEHX, LOLD, MODF, NLPA, FTSE, YADG, YBHS, RBSD, RBSC, MACB, POTF, POTG, YEJA, POTI, YEJB, YEJE, YEJF, CYSA, ZNUB, ZNUA, ZNUC, ARAG, ARAF, ARAH, YHDZ, HISP, POTA, HISJ, CYSP, POTD, HISM",1043,181,7107,4.06581101052531,2.18895275385347e-41,5.47238188463367e-42,1.73670708697767e-41,1.02950745957492e-42
"KEGG_PATHWAY","eco02020","Two-component system",86,3.33333333333333,2.38751677180449e-39,"ATOC, ATOB, ATOA, NARQ, CITE, CITD, FRDB, DCUB, CITC, FRDA, PHOA, NARX, CITG, CITF, CHEB, ATOD, CHEA, ATOS, AER, CHEY, NARH, PHOR, NARG, NARJ, PHOP, NARL, FLHC, CHER, UVRY, FLHD, EVGA, TAP, APPY, CUSS, CUSR, TRPA, RSTA, TRPC, TRPB, RSTB, TRPE, TRPD, ARCB, CITT, EVGS, CITX, BASS, CUSC, CUSB, FDNG, KDPD, FDNH, OMPF, ENVZ, KDPE, KDPB, KDPA, TRG, EMRK, DPIA, UHPB, UHPA, UHPC, CPXR, RCSF, CREB, CREC, GLNL, TORA, DCTA, GLND, GLNA, TORC, GLNB, CPXA, TORR, DEGP, BAES, TSR, BAER, TORS, AMPC, ZRAS, ZRAR, PSTS, OMPR",1043,133,7107,4.40604387286529,5.22866173025184e-36,3.2679135814074e-37,4.14840104079523e-36,1.22957113747931e-37
"KEGG_PATHWAY","eco00230","Purine metabolism",66,2.55813953488372,5.60059979353439e-39,"YQEA, AMN, PNP, SURE, HOLB, APT, PURH, PURF, PURE, PURL, PURK, RELA, POLA, GSK, PURD, PURC, PURB, PURA, YAGS, DGT, YAGR, ADK, ADE, ADD, PURT, USHA, PPX, XDHA, PURN, PURM, XDHB, NDK, CYAA, NUDE, YJJG, NUDF, MAZG, NRDE, NRDD, PYKA, NRDB, RPOZ, ALLB, NRDA, ALLC, DNAN, GMK, ALLD, YFBR, PYKF, RPOC, RPOB, RPOA, CYSD, HPT, CYSC, GUAD, GUAC, APAH, GUAA, GUAB, YAHI, DEOD, GPT, DEOB, CYSN",1043,83,7107,5.41835992098788,1.22653135478403e-35,6.8140630821335e-37,9.73125478612477e-36,1.92287259578014e-37
"KEGG_PATHWAY","eco00240","Pyrimidine metabolism",40,1.55038759689922,4.60474786138917e-22,"DCD, USHA, UDP, UPP, NDK, PNP, SURE, YJJG, HOLB, MAZG, NRDE, CDD, NRDD, CODA, NRDB, RPOZ, NRDA, DNAN, TMK, YFBR, RPOC, RPOB, RPOA, CMK, POLA, PYRE, CARA, PYRF, CARB, PYRG, PYRH, PYRI, PYRB, PYRC, PYRD, DEOD, TRXB, THYA, UDK, DUT",1043,53,7107,5.14264006222978,1.00843978164423e-18,1.5756871588191e-20,8.00092424328765e-19,1.18572257430771e-20
"KEGG_PATHWAY","eco00620","Pyruvate metabolism",35,1.35658914728682,1.49493115438333e-20,"TDCE, ATOB, LDHA, MAEB, GLOB, MDH, GLOA, MHPF, ACEF, ACEE, ACCB, ACCA, ACCD, ACCC, PPSA, PPC, LLDD, PFLB, MQO, PYKA, PFLD, ACKA, ALDB, POXB, PYKF, FUCO, PTA, GLCB, YBIC, EUTE, LEUA, DLD, MGSA, YBIW, ADHE",1043,44,7107,5.42022574740696,3.27389922809949e-17,4.48479346314998e-19,2.59749964063031e-17,3.07955817802965e-19
"KEGG_PATHWAY","eco03010","Ribosome",47,1.82170542635659,2.27925667684558e-19,"RPLJ, RPLK, RPLL, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPSU, RPLA, RPMI, RPSB, RPSA, RPSD, RPMG, RPSC, RPMA, RPMB, RPME, RPMF, RPMC, RPMD, RPSQ, RPLY, RPSR, RPSS, RPST, RPLV, RPSM, RPSN, RPSO, RPSP, RPSI, RPLP, RPSJ, RPSK, RPLO, RPLN, RPSL, RPSE, RPSF, RPLT, RPLS, RPSG, RPLR, RPSH",1043,79,7107,4.05389759335898,4.99157212229182e-16,6.01394231601425e-18,3.96029501535999e-16,3.91272396191825e-18
"KEGG_PATHWAY","eco00330","Arginine and proline metabolism",33,1.27906976744186,1.45452431610097e-18,"YQEA, SPEB, SPEC, GDHA, ASTA, SPEA, ASPC, SPEF, SPED, PUUD, SPEE, CODA, ARGC, ADIA, ARGB, ARGE, PEPD, ARGD, YBAS, GLNA, ARGA, PROB, ASTD, PROA, ASTE, PROC, YNEH, YAHI, PUTA, EDA, ARGG, ARGH, ARGI",1043,43,7107,5.22934736560458,3.18540825226113e-15,3.74753912030721e-17,2.52729122493861e-15,2.14022863654857e-17
"KEGG_PATHWAY","eco00970","Aminoacyl-tRNA biosynthesis",24,0.930232558139535,8.79089639593774e-17,"VALS, LEUS, ASPS, GLTX, HISS, TYRS, ILES, SERS, ALAS, PHET, SELA, PHES, ARGS, THRS, LYSS, METG, LYSU, GLNS, CYSS, GLYS, GLYQ, FMT, TRPS, PROS",1043,26,7107,6.28984438380412,2.43138842392909e-13,2.44249065417534e-15,1.88737914186277e-13,1.13182791097698e-15
"KEGG_PATHWAY","eco00910","Nitrogen metabolism",28,1.08527131782946,1.56547570471401e-16,"YQEA, NARW, CYNS, DADA, ANSA, NARY, NAPA, NARZ, ANSB, GDHA, NARH, METC, GLTD, ASNA, NARG, ASNB, NARJ, GLTB, NRFA, NADE, YBAS, MALY, GLNA, YNEH, NIRB, YAHI, TNAA, GCVT",1043,35,7107,5.45119846596357,2.43138842392909e-13,2.33146835171283e-15,1.88737914186277e-13,1.7915999731727e-15
"KEGG_PATHWAY","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis",21,0.813953488372093,3.2370414260704e-16,"PHEA, TRPA, TRPC, TRPB, YDIB, AROL, TRPE, AROK, TRPD, ASPC, HISC, TYRA, AROH, TYRB, AROG, AROF, AROE, AROD, AROC, AROB, AROA",1043,21,7107,6.81399808245446,7.29416527178728e-13,6.88338275267597e-15,5.77315972805081e-13,3.33415266885251e-15
